

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
13,;130s,;878,;6.754,;0%,;2.12ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;9.027;2036.277;607.556;297.729;4.164;145.901;878;0;0;0;0;1;13;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;2.544;860.579;235.587;223.573;1.11;212.172;878;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;4.176;540.647;61.198;54.981;1.239;49.395;878;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;13;users):
;50.0%;of;requests;handled;in;580.297ms.
;90.0%;of;requests;handled;in;982.524ms.
;95.0%;of;requests;handled;in;1085.644ms.
;99.0%;of;requests;handled;in;1321.775ms.
;99.9%;of;requests;handled;in;2036.277ms.
;99.99%;of;requests;handled;in;2036.277ms.

info;(run;1,;13;users):
;50.0%;of;requests;handled;in;169.528ms.
;90.0%;of;requests;handled;in;565.696ms.
;95.0%;of;requests;handled;in;647.76ms.
;99.0%;of;requests;handled;in;771.986ms.
;99.9%;of;requests;handled;in;860.579ms.
;99.99%;of;requests;handled;in;860.579ms.

home;(run;1,;13;users):
;50.0%;of;requests;handled;in;52.786ms.
;90.0%;of;requests;handled;in;112.364ms.
;95.0%;of;requests;handled;in;146.456ms.
;99.0%;of;requests;handled;in;269.267ms.
;99.9%;of;requests;handled;in;540.647ms.
;99.99%;of;requests;handled;in;540.647ms.

