

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
13,;1445s,;9192,;6.361,;0%,;3.282ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;5.671;2901.276;760.882;317.467;5.744;132.458;9184;0;0;0;0;13;129;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;1.899;1199.138;200.16;240.871;0.691;289.864;9192;0;0;0;0;0;5;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;3.272;846.272;61.013;61.812;0.974;62.622;9192;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;13;users):
;50.0%;of;requests;handled;in;743.076ms.
;90.0%;of;requests;handled;in;1178.36ms.
;95.0%;of;requests;handled;in;1290.395ms.
;99.0%;of;requests;handled;in;1519.444ms.
;99.9%;of;requests;handled;in;2324.773ms.
;99.99%;of;requests;handled;in;2901.276ms.

info;(run;1,;13;users):
;50.0%;of;requests;handled;in;78.806ms.
;90.0%;of;requests;handled;in;581.911ms.
;95.0%;of;requests;handled;in;697.452ms.
;99.0%;of;requests;handled;in;887.763ms.
;99.9%;of;requests;handled;in;1066.132ms.
;99.99%;of;requests;handled;in;1199.138ms.

home;(run;1,;13;users):
;50.0%;of;requests;handled;in;47.616ms.
;90.0%;of;requests;handled;in;118.491ms.
;95.0%;of;requests;handled;in;164.519ms.
;99.0%;of;requests;handled;in;284.998ms.
;99.9%;of;requests;handled;in;595.475ms.
;99.99%;of;requests;handled;in;846.272ms.

