

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
8,;300s,;1503,;5.01,;0%,;1.334ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;77.775;991.52;472.027;206.34;5.233;90.199;1503;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;2.098;499.878;94.299;132.82;0.504;187.077;1503;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;3.228;303.651;29.671;31.279;0.9;32.975;1503;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;8;users):
;50.0%;of;requests;handled;in;484.142ms.
;90.0%;of;requests;handled;in;751.653ms.
;95.0%;of;requests;handled;in;800.131ms.
;99.0%;of;requests;handled;in;881.193ms.
;99.9%;of;requests;handled;in;970.374ms.
;99.99%;of;requests;handled;in;991.52ms.

info;(run;1,;8;users):
;50.0%;of;requests;handled;in;15.989ms.
;90.0%;of;requests;handled;in;325.802ms.
;95.0%;of;requests;handled;in;394.367ms.
;99.0%;of;requests;handled;in;452.057ms.
;99.9%;of;requests;handled;in;494.31ms.
;99.99%;of;requests;handled;in;499.878ms.

home;(run;1,;8;users):
;50.0%;of;requests;handled;in;18.142ms.
;90.0%;of;requests;handled;in;72.397ms.
;95.0%;of;requests;handled;in;83.483ms.
;99.0%;of;requests;handled;in;126.209ms.
;99.9%;of;requests;handled;in;282.682ms.
;99.99%;of;requests;handled;in;303.651ms.

