

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
9,;300s,;1527,;5.09,;0%,;1.801ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
9;131.945;1103.008;576.229;202.106;8.129;70.886;1527;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
9;2.16;812.517;154.733;170.619;0.822;188.136;1527;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
9;3.331;445.728;35.91;39.136;0.842;42.651;1527;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;9;users):
;50.0%;of;requests;handled;in;580.632ms.
;90.0%;of;requests;handled;in;841.271ms.
;95.0%;of;requests;handled;in;891.844ms.
;99.0%;of;requests;handled;in;985.835ms.
;99.9%;of;requests;handled;in;1087.011ms.
;99.99%;of;requests;handled;in;1103.008ms.

info;(run;1,;9;users):
;50.0%;of;requests;handled;in;62.257ms.
;90.0%;of;requests;handled;in;405.717ms.
;95.0%;of;requests;handled;in;461.033ms.
;99.0%;of;requests;handled;in;598.531ms.
;99.9%;of;requests;handled;in;761.72ms.
;99.99%;of;requests;handled;in;812.517ms.

home;(run;1,;9;users):
;50.0%;of;requests;handled;in;23.332ms.
;90.0%;of;requests;handled;in;79.574ms.
;95.0%;of;requests;handled;in;90.41ms.
;99.0%;of;requests;handled;in;156.512ms.
;99.9%;of;requests;handled;in;421.699ms.
;99.99%;of;requests;handled;in;445.728ms.

