

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
15,;300s,;1875,;6.25,;0%,;1.337ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
15;111.224;1818.563;895.04;389.794;5.272;169.757;1875;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
15;2.124;1513.133;433.223;361.015;1.44;300.842;1875;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
15;3.247;908.358;68.627;59.514;1.33;51.612;1875;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;15;users):
;50.0%;of;requests;handled;in;892.808ms.
;90.0%;of;requests;handled;in;1419.056ms.
;95.0%;of;requests;handled;in;1502.794ms.
;99.0%;of;requests;handled;in;1657.401ms.
;99.9%;of;requests;handled;in;1818.08ms.
;99.99%;of;requests;handled;in;1818.563ms.

info;(run;1,;15;users):
;50.0%;of;requests;handled;in;414.838ms.
;90.0%;of;requests;handled;in;934.499ms.
;95.0%;of;requests;handled;in;1013.239ms.
;99.0%;of;requests;handled;in;1195.894ms.
;99.9%;of;requests;handled;in;1353.151ms.
;99.99%;of;requests;handled;in;1513.133ms.

home;(run;1,;15;users):
;50.0%;of;requests;handled;in;69.943ms.
;90.0%;of;requests;handled;in;114.01ms.
;95.0%;of;requests;handled;in;152.627ms.
;99.0%;of;requests;handled;in;249.424ms.
;99.9%;of;requests;handled;in;834.748ms.
;99.99%;of;requests;handled;in;908.358ms.

