

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
16,;300s,;1845,;6.15,;0%,;1.956ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
16;102.615;1978.245;985.158;444.093;4.921;200.19;1861;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
16;2.098;1539.418;529.981;417.207;1.614;328.43;1855;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
16;3.362;845.257;71.294;56.725;1.58;45.134;1845;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;16;users):
;50.0%;of;requests;handled;in;983.736ms.
;90.0%;of;requests;handled;in;1585.585ms.
;95.0%;of;requests;handled;in;1704.86ms.
;99.0%;of;requests;handled;in;1854.388ms.
;99.9%;of;requests;handled;in;1949.468ms.
;99.99%;of;requests;handled;in;1978.245ms.

info;(run;1,;16;users):
;50.0%;of;requests;handled;in;496.618ms.
;90.0%;of;requests;handled;in;1104.65ms.
;95.0%;of;requests;handled;in;1211.286ms.
;99.0%;of;requests;handled;in;1399.597ms.
;99.9%;of;requests;handled;in;1519.735ms.
;99.99%;of;requests;handled;in;1539.418ms.

home;(run;1,;16;users):
;50.0%;of;requests;handled;in;69.638ms.
;90.0%;of;requests;handled;in;126.599ms.
;95.0%;of;requests;handled;in;167.567ms.
;99.0%;of;requests;handled;in;200.908ms.
;99.9%;of;requests;handled;in;591.152ms.
;99.99%;of;requests;handled;in;845.257ms.

