

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
18,;300s,;2145,;7.15,;0%,;1.267ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
18;93.932;1829.304;915.469;419.398;4.765;192.136;2163;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
18;2.007;1585.736;517.088;395.203;1.712;302.049;2153;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
18;3.047;1168.318;73.851;74.846;0.974;75.855;2145;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;18;users):
;50.0%;of;requests;handled;in;913.206ms.
;90.0%;of;requests;handled;in;1482.842ms.
;95.0%;of;requests;handled;in;1581.765ms.
;99.0%;of;requests;handled;in;1698.532ms.
;99.9%;of;requests;handled;in;1826.886ms.
;99.99%;of;requests;handled;in;1829.304ms.

info;(run;1,;18;users):
;50.0%;of;requests;handled;in;482.568ms.
;90.0%;of;requests;handled;in;1070.265ms.
;95.0%;of;requests;handled;in;1160.61ms.
;99.0%;of;requests;handled;in;1318.203ms.
;99.9%;of;requests;handled;in;1461.53ms.
;99.99%;of;requests;handled;in;1585.736ms.

home;(run;1,;18;users):
;50.0%;of;requests;handled;in;75.975ms.
;90.0%;of;requests;handled;in;111.049ms.
;95.0%;of;requests;handled;in;129.811ms.
;99.0%;of;requests;handled;in;262.456ms.
;99.9%;of;requests;handled;in;1072.66ms.
;99.99%;of;requests;handled;in;1168.318ms.

