

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
30,;300s,;2165,;7.217,;0%,;1.18ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
30;81.341;3688.96;1707.888;884.177;3.731;457.741;2195;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
30;2.412;3230.831;1277.987;854.547;2.237;571.407;2182;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
30;3.224;3048.884;139.584;185.337;0.567;246.086;2165;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;30;users):
;50.0%;of;requests;handled;in;1694.907ms.
;90.0%;of;requests;handled;in;2928.637ms.
;95.0%;of;requests;handled;in;3108.942ms.
;99.0%;of;requests;handled;in;3392.498ms.
;99.9%;of;requests;handled;in;3684.225ms.
;99.99%;of;requests;handled;in;3688.96ms.

info;(run;1,;30;users):
;50.0%;of;requests;handled;in;1275.619ms.
;90.0%;of;requests;handled;in;2444.988ms.
;95.0%;of;requests;handled;in;2612.115ms.
;99.0%;of;requests;handled;in;2880.056ms.
;99.9%;of;requests;handled;in;3125.97ms.
;99.99%;of;requests;handled;in;3230.831ms.

home;(run;1,;30;users):
;50.0%;of;requests;handled;in;115.534ms.
;90.0%;of;requests;handled;in;201ms.
;95.0%;of;requests;handled;in;227.462ms.
;99.0%;of;requests;handled;in;960.368ms.
;99.9%;of;requests;handled;in;2537.093ms.
;99.99%;of;requests;handled;in;3048.884ms.

