

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
1,;300s,;263,;0.877,;0%,;1.165ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;78.132;291.673;126.727;33.791;14.065;9.01;263;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;3.449;24.13;5.672;2.138;7.036;0.806;263;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;3.908;36.093;7.53;3.503;4.621;1.63;263;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;1;users):
;50.0%;of;requests;handled;in;126.493ms.
;90.0%;of;requests;handled;in;172.51ms.
;95.0%;of;requests;handled;in;183.893ms.
;99.0%;of;requests;handled;in;214.909ms.
;99.9%;of;requests;handled;in;291.673ms.
;99.99%;of;requests;handled;in;291.673ms.

info;(run;1,;1;users):
;50.0%;of;requests;handled;in;5.251ms.
;90.0%;of;requests;handled;in;7.417ms.
;95.0%;of;requests;handled;in;8.77ms.
;99.0%;of;requests;handled;in;18.513ms.
;99.9%;of;requests;handled;in;24.13ms.
;99.99%;of;requests;handled;in;24.13ms.

home;(run;1,;1;users):
;50.0%;of;requests;handled;in;6.753ms.
;90.0%;of;requests;handled;in;10.33ms.
;95.0%;of;requests;handled;in;12.604ms.
;99.0%;of;requests;handled;in;24.878ms.
;99.9%;of;requests;handled;in;36.093ms.
;99.99%;of;requests;handled;in;36.093ms.

