

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
18,;300s,;1333,;4.443,;0%,;1.753ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
18;254.683;3802.383;1851.134;865.896;4.57;405.036;1333;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
18;2.282;3100.859;1054.801;805.094;1.717;614.501;1333;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
18;3.496;2387.652;140.273;122.188;1.318;106.435;1333;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;18;users):
;50.0%;of;requests;handled;in;1801.387ms.
;90.0%;of;requests;handled;in;3095.612ms.
;95.0%;of;requests;handled;in;3285.097ms.
;99.0%;of;requests;handled;in;3676.722ms.
;99.9%;of;requests;handled;in;3799.695ms.
;99.99%;of;requests;handled;in;3802.383ms.

info;(run;1,;18;users):
;50.0%;of;requests;handled;in;1004.754ms.
;90.0%;of;requests;handled;in;2209.174ms.
;95.0%;of;requests;handled;in;2399.265ms.
;99.0%;of;requests;handled;in;2710.584ms.
;99.9%;of;requests;handled;in;3069.878ms.
;99.99%;of;requests;handled;in;3100.859ms.

home;(run;1,;18;users):
;50.0%;of;requests;handled;in;110.083ms.
;90.0%;of;requests;handled;in;286.643ms.
;95.0%;of;requests;handled;in;307.507ms.
;99.0%;of;requests;handled;in;476.255ms.
;99.9%;of;requests;handled;in;1990.361ms.
;99.99%;of;requests;handled;in;2387.652ms.

