

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
7,;300s,;883,;2.943,;0%,;1.691ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
7;155.322;1884.006;1137.631;353.574;10.352;109.89;890;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
7;2.604;1197.581;164.018;249.851;0.431;380.602;885;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
7;3.934;709.964;63.605;78.578;0.655;97.077;883;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;7;users):
;50.0%;of;requests;handled;in;1108.318ms.
;90.0%;of;requests;handled;in;1590.624ms.
;95.0%;of;requests;handled;in;1671.533ms.
;99.0%;of;requests;handled;in;1796.905ms.
;99.9%;of;requests;handled;in;1884.006ms.
;99.99%;of;requests;handled;in;1884.006ms.

info;(run;1,;7;users):
;50.0%;of;requests;handled;in;76.683ms.
;90.0%;of;requests;handled;in;577.11ms.
;95.0%;of;requests;handled;in;797.461ms.
;99.0%;of;requests;handled;in;1085.818ms.
;99.9%;of;requests;handled;in;1197.581ms.
;99.99%;of;requests;handled;in;1197.581ms.

home;(run;1,;7;users):
;50.0%;of;requests;handled;in;68.148ms.
;90.0%;of;requests;handled;in;108.253ms.
;95.0%;of;requests;handled;in;174.596ms.
;99.0%;of;requests;handled;in;501.772ms.
;99.9%;of;requests;handled;in;709.964ms.
;99.99%;of;requests;handled;in;709.964ms.

