

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
20,;300s,;1321,;4.403,;0%,;1.86ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
20;116.227;4409.037;2097.666;993.135;4.461;470.197;1321;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
20;2.257;3600.122;1257.9;941.737;1.784;705.039;1321;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
20;3.228;2795.517;179.729;145.641;1.523;118.019;1321;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;20;users):
;50.0%;of;requests;handled;in;2086.631ms.
;90.0%;of;requests;handled;in;3438.906ms.
;95.0%;of;requests;handled;in;3679.875ms.
;99.0%;of;requests;handled;in;4050.666ms.
;99.9%;of;requests;handled;in;4406.732ms.
;99.99%;of;requests;handled;in;4409.037ms.

info;(run;1,;20;users):
;50.0%;of;requests;handled;in;1203.996ms.
;90.0%;of;requests;handled;in;2508.185ms.
;95.0%;of;requests;handled;in;2793.973ms.
;99.0%;of;requests;handled;in;3219.163ms.
;99.9%;of;requests;handled;in;3596.92ms.
;99.99%;of;requests;handled;in;3600.122ms.

home;(run;1,;20;users):
;50.0%;of;requests;handled;in;188.965ms.
;90.0%;of;requests;handled;in;300.133ms.
;95.0%;of;requests;handled;in;381.705ms.
;99.0%;of;requests;handled;in;491.034ms.
;99.9%;of;requests;handled;in;2436.906ms.
;99.99%;of;requests;handled;in;2795.517ms.

