

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
14,;300s,;1022,;3.407,;0%,;2.147ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
14;214.954;3697.178;2040.196;877.161;5.41;377.126;1022;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
14;2.454;3109.693;924.074;812.321;1.294;714.082;1022;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
14;3.67;1498.399;143.337;98.23;2.129;67.318;1022;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;14;users):
;50.0%;of;requests;handled;in;2009.168ms.
;90.0%;of;requests;handled;in;3190.653ms.
;95.0%;of;requests;handled;in;3320.031ms.
;99.0%;of;requests;handled;in;3542.312ms.
;99.9%;of;requests;handled;in;3696.733ms.
;99.99%;of;requests;handled;in;3697.178ms.

info;(run;1,;14;users):
;50.0%;of;requests;handled;in;898.772ms.
;90.0%;of;requests;handled;in;2102.339ms.
;95.0%;of;requests;handled;in;2286.998ms.
;99.0%;of;requests;handled;in;2685.073ms.
;99.9%;of;requests;handled;in;3107.183ms.
;99.99%;of;requests;handled;in;3109.693ms.

home;(run;1,;14;users):
;50.0%;of;requests;handled;in;127.057ms.
;90.0%;of;requests;handled;in;275.969ms.
;95.0%;of;requests;handled;in;291.415ms.
;99.0%;of;requests;handled;in;316.59ms.
;99.9%;of;requests;handled;in;1477.777ms.
;99.99%;of;requests;handled;in;1498.399ms.

