

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
8,;360s,;1786,;4.961,;0%,;1.433ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;7.614;2047.055;481.479;217.53;4.899;98.279;1787;0;0;0;0;7;8;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;2.496;530.256;84.157;117.421;0.514;163.833;1786;0;0;0;0;0;5;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;4.055;304.003;33.696;33.286;1.025;32.88;1784;0;0;0;0;0;2;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;8;users):
;50.0%;of;requests;handled;in;475.7ms.
;90.0%;of;requests;handled;in;726.352ms.
;95.0%;of;requests;handled;in;788.715ms.
;99.0%;of;requests;handled;in;1355.288ms.
;99.9%;of;requests;handled;in;1894.45ms.
;99.99%;of;requests;handled;in;2047.055ms.

info;(run;1,;8;users):
;50.0%;of;requests;handled;in;22.72ms.
;90.0%;of;requests;handled;in;293.356ms.
;95.0%;of;requests;handled;in;357.998ms.
;99.0%;of;requests;handled;in;445.425ms.
;99.9%;of;requests;handled;in;518.698ms.
;99.99%;of;requests;handled;in;530.256ms.

home;(run;1,;8;users):
;50.0%;of;requests;handled;in;23.332ms.
;90.0%;of;requests;handled;in;76.611ms.
;95.0%;of;requests;handled;in;91.698ms.
;99.0%;of;requests;handled;in;130.838ms.
;99.9%;of;requests;handled;in;301.883ms.
;99.99%;of;requests;handled;in;304.003ms.

