

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
1,;300s,;248,;0.827,;0%,;1.741ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;83.533;472.899;188.483;40.584;21.569;8.739;248;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;3.677;47.487;7.908;7.232;1.196;6.615;248;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;4.59;63.124;9.919;7.29;1.851;5.357;248;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;1;users):
;50.0%;of;requests;handled;in;185.697ms.
;90.0%;of;requests;handled;in;235.985ms.
;95.0%;of;requests;handled;in;251.607ms.
;99.0%;of;requests;handled;in;302.754ms.
;99.9%;of;requests;handled;in;472.899ms.
;99.99%;of;requests;handled;in;472.899ms.

info;(run;1,;1;users):
;50.0%;of;requests;handled;in;5.78ms.
;90.0%;of;requests;handled;in;10.027ms.
;95.0%;of;requests;handled;in;28.807ms.
;99.0%;of;requests;handled;in;43.817ms.
;99.9%;of;requests;handled;in;47.487ms.
;99.99%;of;requests;handled;in;47.487ms.

home;(run;1,;1;users):
;50.0%;of;requests;handled;in;7.741ms.
;90.0%;of;requests;handled;in;15.007ms.
;95.0%;of;requests;handled;in;28.407ms.
;99.0%;of;requests;handled;in;46.142ms.
;99.9%;of;requests;handled;in;63.124ms.
;99.99%;of;requests;handled;in;63.124ms.

