

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
25,;300s,;1225,;4.083,;0%,;1.096ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
25;324.668;5709.168;2893.074;1406.975;4.228;684.248;1250;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
25;3.132;4882.775;1978.32;1372.062;2.079;951.592;1229;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
25;3.6;3289.217;218.977;193.305;1.283;170.643;1225;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;25;users):
;50.0%;of;requests;handled;in;2853.619ms.
;90.0%;of;requests;handled;in;4821.003ms.
;95.0%;of;requests;handled;in;5100.034ms.
;99.0%;of;requests;handled;in;5372.886ms.
;99.9%;of;requests;handled;in;5682.375ms.
;99.99%;of;requests;handled;in;5709.168ms.

info;(run;1,;25;users):
;50.0%;of;requests;handled;in;1916.733ms.
;90.0%;of;requests;handled;in;3896.53ms.
;95.0%;of;requests;handled;in;4115.216ms.
;99.0%;of;requests;handled;in;4484.09ms.
;99.9%;of;requests;handled;in;4835.18ms.
;99.99%;of;requests;handled;in;4882.775ms.

home;(run;1,;25;users):
;50.0%;of;requests;handled;in;204.067ms.
;90.0%;of;requests;handled;in;324.03ms.
;95.0%;of;requests;handled;in;400.648ms.
;99.0%;of;requests;handled;in;501.783ms.
;99.9%;of;requests;handled;in;3267.92ms.
;99.99%;of;requests;handled;in;3289.217ms.

