

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
17,;300s,;1140,;3.8,;0%,;1.362ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
17;195.465;3824.086;2096.375;932.702;5.052;414.97;1157;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
17;2.689;3093.021;1196.356;896.412;1.781;671.669;1148;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
17;3.596;1024.053;148.205;90.961;2.655;55.827;1140;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;17;users):
;50.0%;of;requests;handled;in;2108.894ms.
;90.0%;of;requests;handled;in;3388.417ms.
;95.0%;of;requests;handled;in;3496.082ms.
;99.0%;of;requests;handled;in;3692.81ms.
;99.9%;of;requests;handled;in;3822.28ms.
;99.99%;of;requests;handled;in;3824.086ms.

info;(run;1,;17;users):
;50.0%;of;requests;handled;in;1100.651ms.
;90.0%;of;requests;handled;in;2426.92ms.
;95.0%;of;requests;handled;in;2595.063ms.
;99.0%;of;requests;handled;in;2973.481ms.
;99.9%;of;requests;handled;in;3080.649ms.
;99.99%;of;requests;handled;in;3093.021ms.

home;(run;1,;17;users):
;50.0%;of;requests;handled;in;133.972ms.
;90.0%;of;requests;handled;in;279.537ms.
;95.0%;of;requests;handled;in;293.513ms.
;99.0%;of;requests;handled;in;361.952ms.
;99.9%;of;requests;handled;in;980.817ms.
;99.99%;of;requests;handled;in;1024.053ms.

