

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
23,;300s,;1198,;3.993,;0%,;1.566ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
23;228.986;5290.629;2716.052;1290.429;4.43;613.098;1221;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
23;2.596;4494.46;1754.566;1244.001;1.989;882.006;1210;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
23;3.909;3276.793;228.857;203.088;1.27;180.221;1198;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;23;users):
;50.0%;of;requests;handled;in;2690.679ms.
;90.0%;of;requests;handled;in;4499.865ms.
;95.0%;of;requests;handled;in;4723.854ms.
;99.0%;of;requests;handled;in;4918.877ms.
;99.9%;of;requests;handled;in;5274.437ms.
;99.99%;of;requests;handled;in;5290.629ms.

info;(run;1,;23;users):
;50.0%;of;requests;handled;in;1783.614ms.
;90.0%;of;requests;handled;in;3493.785ms.
;95.0%;of;requests;handled;in;3669.64ms.
;99.0%;of;requests;handled;in;4185.907ms.
;99.9%;of;requests;handled;in;4478.562ms.
;99.99%;of;requests;handled;in;4494.46ms.

home;(run;1,;23;users):
;50.0%;of;requests;handled;in;205.782ms.
;90.0%;of;requests;handled;in;386.793ms.
;95.0%;of;requests;handled;in;399.487ms.
;99.0%;of;requests;handled;in;610.707ms.
;99.9%;of;requests;handled;in;3159.945ms.
;99.99%;of;requests;handled;in;3276.793ms.

