

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
3,;300s,;769,;2.563,;0%,;1.534ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
3;76.668;367.431;155.034;58.956;6.915;22.42;769;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
3;2.201;70.394;5.097;6.616;0.594;8.588;769;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
3;3.135;60.088;7.522;8.662;0.754;9.975;769;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;3;users):
;50.0%;of;requests;handled;in;140.516ms.
;90.0%;of;requests;handled;in;236.976ms.
;95.0%;of;requests;handled;in;273.276ms.
;99.0%;of;requests;handled;in;317.316ms.
;99.9%;of;requests;handled;in;367.431ms.
;99.99%;of;requests;handled;in;367.431ms.

info;(run;1,;3;users):
;50.0%;of;requests;handled;in;3.738ms.
;90.0%;of;requests;handled;in;5.541ms.
;95.0%;of;requests;handled;in;8.29ms.
;99.0%;of;requests;handled;in;49.172ms.
;99.9%;of;requests;handled;in;70.394ms.
;99.99%;of;requests;handled;in;70.394ms.

home;(run;1,;3;users):
;50.0%;of;requests;handled;in;5.33ms.
;90.0%;of;requests;handled;in;9.072ms.
;95.0%;of;requests;handled;in;17.927ms.
;99.0%;of;requests;handled;in;51.503ms.
;99.9%;of;requests;handled;in;60.088ms.
;99.99%;of;requests;handled;in;60.088ms.

