

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
25,;300s,;2451,;8.17,;0%,;1.569ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
25;77.413;2440.75;1164.673;564.475;4.257;273.581;2476;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
25;1.899;2001.011;777.655;537.304;2.095;371.238;2468;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
25;2.881;1755.414;100.016;118.801;0.709;141.115;2451;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;25;users):
;50.0%;of;requests;handled;in;1162.466ms.
;90.0%;of;requests;handled;in;1934.833ms.
;95.0%;of;requests;handled;in;2065.828ms.
;99.0%;of;requests;handled;in;2190.013ms.
;99.9%;of;requests;handled;in;2395.402ms.
;99.99%;of;requests;handled;in;2440.75ms.

info;(run;1,;25;users):
;50.0%;of;requests;handled;in;768.083ms.
;90.0%;of;requests;handled;in;1507.563ms.
;95.0%;of;requests;handled;in;1617.123ms.
;99.0%;of;requests;handled;in;1787.294ms.
;99.9%;of;requests;handled;in;1936.95ms.
;99.99%;of;requests;handled;in;2001.011ms.

home;(run;1,;25;users):
;50.0%;of;requests;handled;in;91.654ms.
;90.0%;of;requests;handled;in;164.794ms.
;95.0%;of;requests;handled;in;186.429ms.
;99.0%;of;requests;handled;in;512.307ms.
;99.9%;of;requests;handled;in;1642.545ms.
;99.99%;of;requests;handled;in;1755.414ms.

