

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
60,;300s,;3062,;10.207,;0%,;2.857ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
60;82.643;5216.28;2539.267;1357.997;3.496;726.256;3062;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
60;2.976;4912.142;2160.843;1332.158;2.631;821.275;3062;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
60;3.197;4372.266;176.158;372.949;0.223;789.582;3062;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;60;users):
;50.0%;of;requests;handled;in;2528.964ms.
;90.0%;of;requests;handled;in;4413.418ms.
;95.0%;of;requests;handled;in;4676.66ms.
;99.0%;of;requests;handled;in;4969.769ms.
;99.9%;of;requests;handled;in;5212.29ms.
;99.99%;of;requests;handled;in;5216.28ms.

info;(run;1,;60;users):
;50.0%;of;requests;handled;in;2128.263ms.
;90.0%;of;requests;handled;in;4005.589ms.
;95.0%;of;requests;handled;in;4216.879ms.
;99.0%;of;requests;handled;in;4475.888ms.
;99.9%;of;requests;handled;in;4801.665ms.
;99.99%;of;requests;handled;in;4912.142ms.

home;(run;1,;60;users):
;50.0%;of;requests;handled;in;126.007ms.
;90.0%;of;requests;handled;in;200.112ms.
;95.0%;of;requests;handled;in;223.563ms.
;99.0%;of;requests;handled;in;2491.824ms.
;99.9%;of;requests;handled;in;4002.888ms.
;99.99%;of;requests;handled;in;4372.266ms.

