

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
8,;300s,;1528,;5.093,;0%,;1.515ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;96.143;807.427;441.217;140.318;9.887;44.624;1528;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;1.759;514.256;100.389;118.035;0.723;138.784;1528;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;2.839;218.391;27.307;28.203;0.938;29.127;1528;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;8;users):
;50.0%;of;requests;handled;in;451.607ms.
;90.0%;of;requests;handled;in;616.623ms.
;95.0%;of;requests;handled;in;671.936ms.
;99.0%;of;requests;handled;in;745.21ms.
;99.9%;of;requests;handled;in;802.326ms.
;99.99%;of;requests;handled;in;807.427ms.

info;(run;1,;8;users):
;50.0%;of;requests;handled;in;26.527ms.
;90.0%;of;requests;handled;in;291.319ms.
;95.0%;of;requests;handled;in;311.176ms.
;99.0%;of;requests;handled;in;394.443ms.
;99.9%;of;requests;handled;in;475.568ms.
;99.99%;of;requests;handled;in;514.256ms.

home;(run;1,;8;users):
;50.0%;of;requests;handled;in;16.492ms.
;90.0%;of;requests;handled;in;69.956ms.
;95.0%;of;requests;handled;in;75.112ms.
;99.0%;of;requests;handled;in;98.252ms.
;99.9%;of;requests;handled;in;214.888ms.
;99.99%;of;requests;handled;in;218.391ms.

