

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
8,;360s,;1896,;5.267,;0%,;2.213ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;3.624;2183.914;411.356;228.162;3.25;126.552;1896;0;0;0;0;7;8;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;2.44;553.915;66.941;106.051;0.398;168.01;1897;0;0;0;0;0;6;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;3.642;335.546;28.518;31.655;0.812;35.137;1896;0;0;0;0;0;1;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;8;users):
;50.0%;of;requests;handled;in;394.373ms.
;90.0%;of;requests;handled;in;688.754ms.
;95.0%;of;requests;handled;in;738.496ms.
;99.0%;of;requests;handled;in;1349.544ms.
;99.9%;of;requests;handled;in;1666.334ms.
;99.99%;of;requests;handled;in;2183.914ms.

info;(run;1,;8;users):
;50.0%;of;requests;handled;in;11.982ms.
;90.0%;of;requests;handled;in;244.239ms.
;95.0%;of;requests;handled;in;323.238ms.
;99.0%;of;requests;handled;in;410.268ms.
;99.9%;of;requests;handled;in;486.894ms.
;99.99%;of;requests;handled;in;553.915ms.

home;(run;1,;8;users):
;50.0%;of;requests;handled;in;16.292ms.
;90.0%;of;requests;handled;in;68.732ms.
;95.0%;of;requests;handled;in;83.986ms.
;99.0%;of;requests;handled;in;146.57ms.
;99.9%;of;requests;handled;in;307.772ms.
;99.99%;of;requests;handled;in;335.546ms.

