

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
16,;300s,;2356,;7.853,;0%,;1.442ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
16;85.714;1345.779;657.947;282.591;5.421;121.374;2356;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
16;1.669;1046.977;332.868;264.106;1.589;209.548;2356;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
16;2.862;525.929;48.88;33.491;2.13;22.947;2356;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;16;users):
;50.0%;of;requests;handled;in;655.333ms.
;90.0%;of;requests;handled;in;1035.04ms.
;95.0%;of;requests;handled;in;1105.925ms.
;99.0%;of;requests;handled;in;1216.164ms.
;99.9%;of;requests;handled;in;1305.835ms.
;99.99%;of;requests;handled;in;1345.779ms.

info;(run;1,;16;users):
;50.0%;of;requests;handled;in;312.008ms.
;90.0%;of;requests;handled;in;701.555ms.
;95.0%;of;requests;handled;in;772.785ms.
;99.0%;of;requests;handled;in;878.49ms.
;99.9%;of;requests;handled;in;985.182ms.
;99.99%;of;requests;handled;in;1046.977ms.

home;(run;1,;16;users):
;50.0%;of;requests;handled;in;46.198ms.
;90.0%;of;requests;handled;in;88.535ms.
;95.0%;of;requests;handled;in;98.492ms.
;99.0%;of;requests;handled;in;123.004ms.
;99.9%;of;requests;handled;in;317.741ms.
;99.99%;of;requests;handled;in;525.929ms.

