

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
13,;300s,;2093,;6.977,;0%,;1.04ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;88.521;1119.54;577.046;224.834;6.587;87.602;2106;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;2.134;817.548;236.697;204.855;1.335;177.297;2099;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;3.016;211.112;43.678;30.069;2.11;20.7;2093;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;13;users):
;50.0%;of;requests;handled;in;573.544ms.
;90.0%;of;requests;handled;in;882.447ms.
;95.0%;of;requests;handled;in;937.013ms.
;99.0%;of;requests;handled;in;1017.113ms.
;99.9%;of;requests;handled;in;1107.82ms.
;99.99%;of;requests;handled;in;1119.54ms.

info;(run;1,;13;users):
;50.0%;of;requests;handled;in;219.074ms.
;90.0%;of;requests;handled;in;522.608ms.
;95.0%;of;requests;handled;in;586.117ms.
;99.0%;of;requests;handled;in;685.555ms.
;99.9%;of;requests;handled;in;800.017ms.
;99.99%;of;requests;handled;in;817.548ms.

home;(run;1,;13;users):
;50.0%;of;requests;handled;in;39.205ms.
;90.0%;of;requests;handled;in;85.331ms.
;95.0%;of;requests;handled;in;94.151ms.
;99.0%;of;requests;handled;in;106.471ms.
;99.9%;of;requests;handled;in;175.188ms.
;99.99%;of;requests;handled;in;211.112ms.

