

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
11,;300s,;1947,;6.49,;0%,;1.071ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
11;93.477;963.664;493.695;181.406;7.407;66.657;1958;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
11;1.88;663.588;161.752;158.215;1.045;154.755;1955;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
11;3.036;330.454;32.173;27.659;1.353;23.779;1953;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;11;users):
;50.0%;of;requests;handled;in;501.552ms.
;90.0%;of;requests;handled;in;727.529ms.
;95.0%;of;requests;handled;in;784.716ms.
;99.0%;of;requests;handled;in;849.514ms.
;99.9%;of;requests;handled;in;949.495ms.
;99.99%;of;requests;handled;in;963.664ms.

info;(run;1,;11;users):
;50.0%;of;requests;handled;in;106.041ms.
;90.0%;of;requests;handled;in;387.809ms.
;95.0%;of;requests;handled;in;428.624ms.
;99.0%;of;requests;handled;in;537.808ms.
;99.9%;of;requests;handled;in;651.033ms.
;99.99%;of;requests;handled;in;663.588ms.

home;(run;1,;11;users):
;50.0%;of;requests;handled;in;26.847ms.
;90.0%;of;requests;handled;in;65.927ms.
;95.0%;of;requests;handled;in;76.09ms.
;99.0%;of;requests;handled;in;110.632ms.
;99.9%;of;requests;handled;in;312.134ms.
;99.99%;of;requests;handled;in;330.454ms.

