

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
5,;300s,;1273,;4.243,;0%,;1.756ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
5;76.079;503.146;163.043;70.695;5.319;30.653;1273;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
5;1.88;189.95;6.59;16.424;0.161;40.933;1273;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
5;2.868;128.113;6.883;6.591;1.09;6.312;1273;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;5;users):
;50.0%;of;requests;handled;in;143.953ms.
;90.0%;of;requests;handled;in;259.535ms.
;95.0%;of;requests;handled;in;320.502ms.
;99.0%;of;requests;handled;in;401.604ms.
;99.9%;of;requests;handled;in;497.711ms.
;99.99%;of;requests;handled;in;503.146ms.

info;(run;1,;5;users):
;50.0%;of;requests;handled;in;3.607ms.
;90.0%;of;requests;handled;in;7.512ms.
;95.0%;of;requests;handled;in;12.931ms.
;99.0%;of;requests;handled;in;99.772ms.
;99.9%;of;requests;handled;in;189.591ms.
;99.99%;of;requests;handled;in;189.95ms.

home;(run;1,;5;users):
;50.0%;of;requests;handled;in;5.18ms.
;90.0%;of;requests;handled;in;11.218ms.
;95.0%;of;requests;handled;in;16.937ms.
;99.0%;of;requests;handled;in;34.514ms.
;99.9%;of;requests;handled;in;109.677ms.
;99.99%;of;requests;handled;in;128.113ms.

