

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
3,;300s,;766,;2.553,;0%,;1.367ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
3;77.687;327.673;158.662;47.908;10.968;14.466;769;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
3;2.21;34.569;5.284;4.451;1.41;3.749;766;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
3;3.363;55.662;7.273;5.504;1.746;4.165;766;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;3;users):
;50.0%;of;requests;handled;in;152.817ms.
;90.0%;of;requests;handled;in;227.641ms.
;95.0%;of;requests;handled;in;246.407ms.
;99.0%;of;requests;handled;in;288.143ms.
;99.9%;of;requests;handled;in;327.673ms.
;99.99%;of;requests;handled;in;327.673ms.

info;(run;1,;3;users):
;50.0%;of;requests;handled;in;4.055ms.
;90.0%;of;requests;handled;in;7.832ms.
;95.0%;of;requests;handled;in;11.99ms.
;99.0%;of;requests;handled;in;28.237ms.
;99.9%;of;requests;handled;in;34.569ms.
;99.99%;of;requests;handled;in;34.569ms.

home;(run;1,;3;users):
;50.0%;of;requests;handled;in;5.762ms.
;90.0%;of;requests;handled;in;10.578ms.
;95.0%;of;requests;handled;in;16.495ms.
;99.0%;of;requests;handled;in;32.537ms.
;99.9%;of;requests;handled;in;55.662ms.
;99.99%;of;requests;handled;in;55.662ms.

