

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
70,;300s,;4481,;14.937,;8.592%,;1.126ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
70;123.62;3980.659;1762.685;1051.673;2.809;627.461;4546;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
70;1.852;3693.862;1492.885;1044.376;2.043;730.613;4488;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
70;3.026;3243.307;137.329;252.119;0.297;462.859;4482;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;70;users):
;50.0%;of;requests;handled;in;1738.164ms.
;90.0%;of;requests;handled;in;3231.371ms.
;95.0%;of;requests;handled;in;3433.066ms.
;99.0%;of;requests;handled;in;3669.694ms.
;99.9%;of;requests;handled;in;3900.721ms.
;99.99%;of;requests;handled;in;3980.659ms.

info;(run;1,;70;users):
;50.0%;of;requests;handled;in;1468.307ms.
;90.0%;of;requests;handled;in;2957.936ms.
;95.0%;of;requests;handled;in;3151.987ms.
;99.0%;of;requests;handled;in;3386.028ms.
;99.9%;of;requests;handled;in;3590.644ms.
;99.99%;of;requests;handled;in;3693.862ms.

home;(run;1,;70;users):
;50.0%;of;requests;handled;in;106.616ms.
;90.0%;of;requests;handled;in;170.237ms.
;95.0%;of;requests;handled;in;205.8ms.
;99.0%;of;requests;handled;in;1761.619ms.
;99.9%;of;requests;handled;in;3164.622ms.
;99.99%;of;requests;handled;in;3243.307ms.

