

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
45,;300s,;3694,;12.313,;0%,;1.724ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
45;87.275;2862.246;1388.846;722.676;3.693;376.039;3739;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
45;1.764;2554.726;1121.881;705.176;2.531;443.249;3735;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
45;3.303;2467.359;108.507;146.885;0.546;198.836;3696;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;45;users):
;50.0%;of;requests;handled;in;1384.304ms.
;90.0%;of;requests;handled;in;2390.439ms.
;95.0%;of;requests;handled;in;2518.858ms.
;99.0%;of;requests;handled;in;2694.665ms.
;99.9%;of;requests;handled;in;2803.977ms.
;99.99%;of;requests;handled;in;2862.246ms.

info;(run;1,;45;users):
;50.0%;of;requests;handled;in;1106.412ms.
;90.0%;of;requests;handled;in;2103.048ms.
;95.0%;of;requests;handled;in;2206.233ms.
;99.0%;of;requests;handled;in;2365.066ms.
;99.9%;of;requests;handled;in;2507.345ms.
;99.99%;of;requests;handled;in;2554.726ms.

home;(run;1,;45;users):
;50.0%;of;requests;handled;in;92.4ms.
;90.0%;of;requests;handled;in;139.335ms.
;95.0%;of;requests;handled;in;162.086ms.
;99.0%;of;requests;handled;in;819.514ms.
;99.9%;of;requests;handled;in;2055.784ms.
;99.99%;of;requests;handled;in;2467.359ms.

