

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
40,;300s,;3608,;12.027,;0%,;1.291ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
40;79.713;2713.915;1261.609;646.364;3.81;331.154;3608;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
40;2.009;2382.09;975.812;633.109;2.376;410.763;3608;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
40;2.926;2045.011;91.418;110.795;0.681;134.28;3608;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;40;users):
;50.0%;of;requests;handled;in;1249.908ms.
;90.0%;of;requests;handled;in;2156.991ms.
;95.0%;of;requests;handled;in;2276.556ms.
;99.0%;of;requests;handled;in;2447.86ms.
;99.9%;of;requests;handled;in;2623.314ms.
;99.99%;of;requests;handled;in;2713.915ms.

info;(run;1,;40;users):
;50.0%;of;requests;handled;in;963.771ms.
;90.0%;of;requests;handled;in;1848.06ms.
;95.0%;of;requests;handled;in;1973.638ms.
;99.0%;of;requests;handled;in;2107.458ms.
;99.9%;of;requests;handled;in;2278.801ms.
;99.99%;of;requests;handled;in;2382.09ms.

home;(run;1,;40;users):
;50.0%;of;requests;handled;in;82.621ms.
;90.0%;of;requests;handled;in;125.115ms.
;95.0%;of;requests;handled;in;148.182ms.
;99.0%;of;requests;handled;in;391.924ms.
;99.9%;of;requests;handled;in;1878.38ms.
;99.99%;of;requests;handled;in;2045.011ms.

