

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
65,;300s,;4163,;13.877,;1.537%,;0.958ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
65;77.355;4114.877;1875.605;1032.759;3.298;568.665;4163;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
65;1.989;3806.247;1612.519;1013.875;2.53;637.476;4163;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
65;3.001;3419.006;141.266;242.2;0.34;415.25;4163;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;65;users):
;50.0%;of;requests;handled;in;1858.211ms.
;90.0%;of;requests;handled;in;3301.536ms.
;95.0%;of;requests;handled;in;3499.919ms.
;99.0%;of;requests;handled;in;3774.557ms.
;99.9%;of;requests;handled;in;4049.043ms.
;99.99%;of;requests;handled;in;4114.877ms.

info;(run;1,;65;users):
;50.0%;of;requests;handled;in;1602.446ms.
;90.0%;of;requests;handled;in;3007.583ms.
;95.0%;of;requests;handled;in;3189.184ms.
;99.0%;of;requests;handled;in;3468.816ms.
;99.9%;of;requests;handled;in;3777.452ms.
;99.99%;of;requests;handled;in;3806.247ms.

home;(run;1,;65;users):
;50.0%;of;requests;handled;in;113.229ms.
;90.0%;of;requests;handled;in;169.491ms.
;95.0%;of;requests;handled;in;196.013ms.
;99.0%;of;requests;handled;in;1370.625ms.
;99.9%;of;requests;handled;in;3310.276ms.
;99.99%;of;requests;handled;in;3419.006ms.

