

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
30,;300s,;1713,;5.71,;0%,;1.014ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
30;103.889;4878.008;2326.463;1193.199;3.802;611.969;1743;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
30;2.217;4399.137;1713.544;1161.357;2.177;787.111;1728;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
30;3.551;3531.433;173.934;247.067;0.496;350.949;1713;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;30;users):
;50.0%;of;requests;handled;in;2306.669ms.
;90.0%;of;requests;handled;in;3986.389ms.
;95.0%;of;requests;handled;in;4198.875ms.
;99.0%;of;requests;handled;in;4570.641ms.
;99.9%;of;requests;handled;in;4833.699ms.
;99.99%;of;requests;handled;in;4878.008ms.

info;(run;1,;30;users):
;50.0%;of;requests;handled;in;1704.4ms.
;90.0%;of;requests;handled;in;3304.131ms.
;95.0%;of;requests;handled;in;3517.385ms.
;99.0%;of;requests;handled;in;3882.372ms.
;99.9%;of;requests;handled;in;4240.681ms.
;99.99%;of;requests;handled;in;4399.137ms.

home;(run;1,;30;users):
;50.0%;of;requests;handled;in;133.109ms.
;90.0%;of;requests;handled;in;283.6ms.
;95.0%;of;requests;handled;in;306.114ms.
;99.0%;of;requests;handled;in;995.225ms.
;99.9%;of;requests;handled;in;3442.795ms.
;99.99%;of;requests;handled;in;3531.433ms.

