

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
12,;300s,;1298,;4.327,;0%,;1.263ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
12;191.939;2091.534;1164.751;472.866;6.067;191.974;1310;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
12;2.426;1688.212;521.282;446.143;1.365;381.835;1298;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
12;3.699;682.097;75.831;61.414;1.525;49.738;1298;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;12;users):
;50.0%;of;requests;handled;in;1174.259ms.
;90.0%;of;requests;handled;in;1797.453ms.
;95.0%;of;requests;handled;in;1894.631ms.
;99.0%;of;requests;handled;in;2009.184ms.
;99.9%;of;requests;handled;in;2089.252ms.
;99.99%;of;requests;handled;in;2091.534ms.

info;(run;1,;12;users):
;50.0%;of;requests;handled;in;508.305ms.
;90.0%;of;requests;handled;in;1164.689ms.
;95.0%;of;requests;handled;in;1282.747ms.
;99.0%;of;requests;handled;in;1506.368ms.
;99.9%;of;requests;handled;in;1684.238ms.
;99.99%;of;requests;handled;in;1688.212ms.

home;(run;1,;12;users):
;50.0%;of;requests;handled;in;78.385ms.
;90.0%;of;requests;handled;in;163.594ms.
;95.0%;of;requests;handled;in;181.351ms.
;99.0%;of;requests;handled;in;215.232ms.
;99.9%;of;requests;handled;in;681.915ms.
;99.99%;of;requests;handled;in;682.097ms.

