

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
1,;300s,;255,;0.85,;0%,;1.292ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;85.92;351.89;161.019;34.813;21.393;7.527;255;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;3.285;22.841;7.174;2.987;5.767;1.244;255;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;4.458;39.26;9.175;3.923;5.47;1.677;255;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;1;users):
;50.0%;of;requests;handled;in;157.404ms.
;90.0%;of;requests;handled;in;206.394ms.
;95.0%;of;requests;handled;in;214.234ms.
;99.0%;of;requests;handled;in;236.66ms.
;99.9%;of;requests;handled;in;351.89ms.
;99.99%;of;requests;handled;in;351.89ms.

info;(run;1,;1;users):
;50.0%;of;requests;handled;in;6.266ms.
;90.0%;of;requests;handled;in;10.573ms.
;95.0%;of;requests;handled;in;13.765ms.
;99.0%;of;requests;handled;in;21.985ms.
;99.9%;of;requests;handled;in;22.841ms.
;99.99%;of;requests;handled;in;22.841ms.

home;(run;1,;1;users):
;50.0%;of;requests;handled;in;8.382ms.
;90.0%;of;requests;handled;in;12.672ms.
;95.0%;of;requests;handled;in;15.822ms.
;99.0%;of;requests;handled;in;29.537ms.
;99.9%;of;requests;handled;in;39.26ms.
;99.99%;of;requests;handled;in;39.26ms.

