

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
8,;300s,;1202,;4.007,;0%,;1.335ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;84.284;1495.48;763.952;256.504;8.87;86.123;1202;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;2.15;790.152;181.294;208.922;0.753;240.76;1202;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;3.423;607.868;51.766;54.752;0.894;57.911;1202;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;8;users):
;50.0%;of;requests;handled;in;776.316ms.
;90.0%;of;requests;handled;in;1086.967ms.
;95.0%;of;requests;handled;in;1186.62ms.
;99.0%;of;requests;handled;in;1327.857ms.
;99.9%;of;requests;handled;in;1489.73ms.
;99.99%;of;requests;handled;in;1495.48ms.

info;(run;1,;8;users):
;50.0%;of;requests;handled;in;79.157ms.
;90.0%;of;requests;handled;in;514.621ms.
;95.0%;of;requests;handled;in;604.772ms.
;99.0%;of;requests;handled;in;701.353ms.
;99.9%;of;requests;handled;in;789.533ms.
;99.99%;of;requests;handled;in;790.152ms.

home;(run;1,;8;users):
;50.0%;of;requests;handled;in;29.522ms.
;90.0%;of;requests;handled;in;99.701ms.
;95.0%;of;requests;handled;in;113.811ms.
;99.0%;of;requests;handled;in;299.752ms.
;99.9%;of;requests;handled;in;580.499ms.
;99.99%;of;requests;handled;in;607.868ms.

