

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
9,;300s,;657,;2.19,;0%,;1.81ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
9;305.37;3878.727;2295.451;768.862;8.913;257.531;666;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
9;3.332;2298.838;626.203;681.639;0.844;741.982;661;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
9;4.156;1904.597;152.904;192.255;0.633;241.732;657;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;9;users):
;50.0%;of;requests;handled;in;2319.858ms.
;90.0%;of;requests;handled;in;3298.776ms.
;95.0%;of;requests;handled;in;3415.053ms.
;99.0%;of;requests;handled;in;3704.452ms.
;99.9%;of;requests;handled;in;3878.727ms.
;99.99%;of;requests;handled;in;3878.727ms.

info;(run;1,;9;users):
;50.0%;of;requests;handled;in;203.973ms.
;90.0%;of;requests;handled;in;1692.982ms.
;95.0%;of;requests;handled;in;1723.017ms.
;99.0%;of;requests;handled;in;2000.948ms.
;99.9%;of;requests;handled;in;2298.838ms.
;99.99%;of;requests;handled;in;2298.838ms.

home;(run;1,;9;users):
;50.0%;of;requests;handled;in;105.208ms.
;90.0%;of;requests;handled;in;297.606ms.
;95.0%;of;requests;handled;in;312.042ms.
;99.0%;of;requests;handled;in;1449.681ms.
;99.9%;of;requests;handled;in;1904.597ms.
;99.99%;of;requests;handled;in;1904.597ms.

