

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
2,;300s,;355,;1.183,;0%,;1.153ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;108.675;914.102;643.925;182.331;12.472;51.628;356;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;3.779;94.964;18.264;27.126;0.453;40.286;355;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;4.675;177.736;22.158;29.112;0.579;38.248;355;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;2;users):
;50.0%;of;requests;handled;in;687.006ms.
;90.0%;of;requests;handled;in;875.864ms.
;95.0%;of;requests;handled;in;889.487ms.
;99.0%;of;requests;handled;in;900.882ms.
;99.9%;of;requests;handled;in;914.102ms.
;99.99%;of;requests;handled;in;914.102ms.

info;(run;1,;2;users):
;50.0%;of;requests;handled;in;6.039ms.
;90.0%;of;requests;handled;in;78.59ms.
;95.0%;of;requests;handled;in;85.027ms.
;99.0%;of;requests;handled;in;90.212ms.
;99.9%;of;requests;handled;in;94.964ms.
;99.99%;of;requests;handled;in;94.964ms.

home;(run;1,;2;users):
;50.0%;of;requests;handled;in;8.088ms.
;90.0%;of;requests;handled;in;80.309ms.
;95.0%;of;requests;handled;in;86.598ms.
;99.0%;of;requests;handled;in;96.568ms.
;99.9%;of;requests;handled;in;177.736ms.
;99.99%;of;requests;handled;in;177.736ms.

