

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
1,;300s,;211,;0.703,;0%,;1.543ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;168.912;647.267;380.606;51.145;55.378;6.873;212;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;4.464;72.766;13.434;17.952;0.56;23.989;211;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;5.963;79.294;20.751;22.959;0.817;25.403;211;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;1;users):
;50.0%;of;requests;handled;in;389.252ms.
;90.0%;of;requests;handled;in;422.871ms.
;95.0%;of;requests;handled;in;426.37ms.
;99.0%;of;requests;handled;in;508.098ms.
;99.9%;of;requests;handled;in;647.267ms.
;99.99%;of;requests;handled;in;647.267ms.

info;(run;1,;1;users):
;50.0%;of;requests;handled;in;6.823ms.
;90.0%;of;requests;handled;in;60.325ms.
;95.0%;of;requests;handled;in;65.947ms.
;99.0%;of;requests;handled;in;69.522ms.
;99.9%;of;requests;handled;in;72.766ms.
;99.99%;of;requests;handled;in;72.766ms.

home;(run;1,;1;users):
;50.0%;of;requests;handled;in;9.236ms.
;90.0%;of;requests;handled;in;65.159ms.
;95.0%;of;requests;handled;in;69.078ms.
;99.0%;of;requests;handled;in;78.009ms.
;99.9%;of;requests;handled;in;79.294ms.
;99.99%;of;requests;handled;in;79.294ms.

