

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
7,;300s,;1412,;4.707,;0%,;1.339ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
7;77.811;809.603;413.339;155.222;7.091;58.291;1418;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
7;2.269;494.844;47.63;81.883;0.338;140.771;1412;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
7;3.42;319.229;22.206;26.575;0.698;31.804;1412;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;7;users):
;50.0%;of;requests;handled;in;416.917ms.
;90.0%;of;requests;handled;in;609.217ms.
;95.0%;of;requests;handled;in;654.123ms.
;99.0%;of;requests;handled;in;727.586ms.
;99.9%;of;requests;handled;in;802.454ms.
;99.99%;of;requests;handled;in;809.603ms.

info;(run;1,;7;users):
;50.0%;of;requests;handled;in;8.959ms.
;90.0%;of;requests;handled;in;161.828ms.
;95.0%;of;requests;handled;in;245.535ms.
;99.0%;of;requests;handled;in;385.019ms.
;99.9%;of;requests;handled;in;479.929ms.
;99.99%;of;requests;handled;in;494.844ms.

home;(run;1,;7;users):
;50.0%;of;requests;handled;in;13.099ms.
;90.0%;of;requests;handled;in;55.928ms.
;95.0%;of;requests;handled;in;64.771ms.
;99.0%;of;requests;handled;in;116.439ms.
;99.9%;of;requests;handled;in;302.546ms.
;99.99%;of;requests;handled;in;319.229ms.

