

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
35,;300s,;2522,;8.407,;0%,;1.725ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
35;103.803;3618.511;1694.947;885.361;3.665;462.471;2557;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
35;2.181;3325.271;1317.477;861.765;2.337;563.683;2536;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
35;3.176;2741.484;128.871;184.249;0.489;263.424;2522;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;35;users):
;50.0%;of;requests;handled;in;1681.186ms.
;90.0%;of;requests;handled;in;2928.222ms.
;95.0%;of;requests;handled;in;3087.052ms.
;99.0%;of;requests;handled;in;3341.191ms.
;99.9%;of;requests;handled;in;3562.257ms.
;99.99%;of;requests;handled;in;3618.511ms.

info;(run;1,;35;users):
;50.0%;of;requests;handled;in;1300.904ms.
;90.0%;of;requests;handled;in;2507.828ms.
;95.0%;of;requests;handled;in;2652.965ms.
;99.0%;of;requests;handled;in;2877.391ms.
;99.9%;of;requests;handled;in;3087.791ms.
;99.99%;of;requests;handled;in;3325.271ms.

home;(run;1,;35;users):
;50.0%;of;requests;handled;in;106.57ms.
;90.0%;of;requests;handled;in;194.566ms.
;95.0%;of;requests;handled;in;218.195ms.
;99.0%;of;requests;handled;in;968.255ms.
;99.9%;of;requests;handled;in;2598.058ms.
;99.99%;of;requests;handled;in;2741.484ms.

