

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
2,;300s,;506,;1.687,;0%,;1.084ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;77.927;295.273;168.027;43.925;14.633;11.483;506;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;2.599;42.538;6.21;5.029;1.525;4.073;506;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;3.774;50.565;8.373;5.748;2.122;3.946;506;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;2;users):
;50.0%;of;requests;handled;in;168.206ms.
;90.0%;of;requests;handled;in;224.874ms.
;95.0%;of;requests;handled;in;241.424ms.
;99.0%;of;requests;handled;in;277.632ms.
;99.9%;of;requests;handled;in;295.273ms.
;99.99%;of;requests;handled;in;295.273ms.

info;(run;1,;2;users):
;50.0%;of;requests;handled;in;4.92ms.
;90.0%;of;requests;handled;in;8.267ms.
;95.0%;of;requests;handled;in;13.205ms.
;99.0%;of;requests;handled;in;36.083ms.
;99.9%;of;requests;handled;in;42.538ms.
;99.99%;of;requests;handled;in;42.538ms.

home;(run;1,;2;users):
;50.0%;of;requests;handled;in;6.909ms.
;90.0%;of;requests;handled;in;11.657ms.
;95.0%;of;requests;handled;in;16.535ms.
;99.0%;of;requests;handled;in;41.094ms.
;99.9%;of;requests;handled;in;50.565ms.
;99.99%;of;requests;handled;in;50.565ms.

