

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
70,;300s,;3013,;10.043,;8.563%,;1.073ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
70;91.995;6215.943;2773.265;1701.749;2.656;1044.238;3077;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
70;1.778;5729.533;2424.339;1689.293;2.06;1177.108;3057;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
70;3.286;5675.454;220.525;503.402;0.192;1149.135;3014;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;70;users):
;50.0%;of;requests;handled;in;2704.702ms.
;90.0%;of;requests;handled;in;5184.495ms.
;95.0%;of;requests;handled;in;5489.364ms.
;99.0%;of;requests;handled;in;5853.155ms.
;99.9%;of;requests;handled;in;6169.217ms.
;99.99%;of;requests;handled;in;6215.943ms.

info;(run;1,;70;users):
;50.0%;of;requests;handled;in;2398.641ms.
;90.0%;of;requests;handled;in;4789.306ms.
;95.0%;of;requests;handled;in;5083.242ms.
;99.0%;of;requests;handled;in;5407.66ms.
;99.9%;of;requests;handled;in;5718.34ms.
;99.99%;of;requests;handled;in;5729.533ms.

home;(run;1,;70;users):
;50.0%;of;requests;handled;in;154.688ms.
;90.0%;of;requests;handled;in;252.353ms.
;95.0%;of;requests;handled;in;298.74ms.
;99.0%;of;requests;handled;in;3674.483ms.
;99.9%;of;requests;handled;in;5446.696ms.
;99.99%;of;requests;handled;in;5675.454ms.

