

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
19,;300s,;2111,;7.037,;0%,;1.687ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
19;131.444;2110.23;1028.4;473.625;4.715;218.126;2111;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
19;2.239;1694.486;583.404;444.856;1.72;339.211;2111;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
19;3.411;1273.831;87.717;75.504;1.35;64.991;2111;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;19;users):
;50.0%;of;requests;handled;in;1029.744ms.
;90.0%;of;requests;handled;in;1657.388ms.
;95.0%;of;requests;handled;in;1778.539ms.
;99.0%;of;requests;handled;in;1945.402ms.
;99.9%;of;requests;handled;in;2095.499ms.
;99.99%;of;requests;handled;in;2110.23ms.

info;(run;1,;19;users):
;50.0%;of;requests;handled;in;541.448ms.
;90.0%;of;requests;handled;in;1203.919ms.
;95.0%;of;requests;handled;in;1298.7ms.
;99.0%;of;requests;handled;in;1484.276ms.
;99.9%;of;requests;handled;in;1615.605ms.
;99.99%;of;requests;handled;in;1694.486ms.

home;(run;1,;19;users):
;50.0%;of;requests;handled;in;88.169ms.
;90.0%;of;requests;handled;in;155.553ms.
;95.0%;of;requests;handled;in;176.93ms.
;99.0%;of;requests;handled;in;223.473ms.
;99.9%;of;requests;handled;in;1209.171ms.
;99.99%;of;requests;handled;in;1273.831ms.

