

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
20,;300s,;2102,;7.007,;0%,;2.351ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
20;87.904;2219.893;1094.4;508.156;4.638;235.949;2122;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
20;2.387;1822.387;661.179;486.36;1.848;357.763;2103;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
20;3.419;1301.79;89.216;75.541;1.395;63.963;2102;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;20;users):
;50.0%;of;requests;handled;in;1097.344ms.
;90.0%;of;requests;handled;in;1795.674ms.
;95.0%;of;requests;handled;in;1910.703ms.
;99.0%;of;requests;handled;in;2098.824ms.
;99.9%;of;requests;handled;in;2211.395ms.
;99.99%;of;requests;handled;in;2219.893ms.

info;(run;1,;20;users):
;50.0%;of;requests;handled;in;638.153ms.
;90.0%;of;requests;handled;in;1326.546ms.
;95.0%;of;requests;handled;in;1471.217ms.
;99.0%;of;requests;handled;in;1646.766ms.
;99.9%;of;requests;handled;in;1790.641ms.
;99.99%;of;requests;handled;in;1822.387ms.

home;(run;1,;20;users):
;50.0%;of;requests;handled;in;84.622ms.
;90.0%;of;requests;handled;in;156.557ms.
;95.0%;of;requests;handled;in;177.275ms.
;99.0%;of;requests;handled;in;311.601ms.
;99.9%;of;requests;handled;in;1237.461ms.
;99.99%;of;requests;handled;in;1301.79ms.

