

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
13,;125s,;796,;6.368,;0%,;1.365ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;5.126;1463.505;644.505;333.894;3.726;172.978;796;0;0;0;0;13;13;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;2.622;1020.93;280.344;263.749;1.13;248.137;796;0;0;0;0;0;13;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;4.111;814.035;67.051;62.419;1.154;58.107;796;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;13;users):
;50.0%;of;requests;handled;in;561.482ms.
;90.0%;of;requests;handled;in;1158.519ms.
;95.0%;of;requests;handled;in;1253.562ms.
;99.0%;of;requests;handled;in;1372.798ms.
;99.9%;of;requests;handled;in;1463.505ms.
;99.99%;of;requests;handled;in;1463.505ms.

info;(run;1,;13;users):
;50.0%;of;requests;handled;in;223.543ms.
;90.0%;of;requests;handled;in;708.201ms.
;95.0%;of;requests;handled;in;811.746ms.
;99.0%;of;requests;handled;in;925.189ms.
;99.9%;of;requests;handled;in;1020.93ms.
;99.99%;of;requests;handled;in;1020.93ms.

home;(run;1,;13;users):
;50.0%;of;requests;handled;in;58.699ms.
;90.0%;of;requests;handled;in;115.19ms.
;95.0%;of;requests;handled;in;143.383ms.
;99.0%;of;requests;handled;in;195.102ms.
;99.9%;of;requests;handled;in;814.035ms.
;99.99%;of;requests;handled;in;814.035ms.

