

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
3,;300s,;606,;2.02,;0%,;2.468ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
3;96.731;1001.987;445.031;190.014;5.485;81.13;607;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
3;2.315;178.356;14.895;26.747;0.31;48.03;606;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
3;3.118;200.608;21.259;33.093;0.413;51.515;606;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;3;users):
;50.0%;of;requests;handled;in;396.527ms.
;90.0%;of;requests;handled;in;708.429ms.
;95.0%;of;requests;handled;in;794.703ms.
;99.0%;of;requests;handled;in;906.459ms.
;99.9%;of;requests;handled;in;1001.987ms.
;99.99%;of;requests;handled;in;1001.987ms.

info;(run;1,;3;users):
;50.0%;of;requests;handled;in;4.03ms.
;90.0%;of;requests;handled;in;66.651ms.
;95.0%;of;requests;handled;in;82.481ms.
;99.0%;of;requests;handled;in;99.432ms.
;99.9%;of;requests;handled;in;178.356ms.
;99.99%;of;requests;handled;in;178.356ms.

home;(run;1,;3;users):
;50.0%;of;requests;handled;in;5.678ms.
;90.0%;of;requests;handled;in;79.794ms.
;95.0%;of;requests;handled;in;92.466ms.
;99.0%;of;requests;handled;in;171.606ms.
;99.9%;of;requests;handled;in;200.608ms.
;99.99%;of;requests;handled;in;200.608ms.

