

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
9,;300s,;808,;2.693,;0%,;2.52ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
9;281.639;2900.275;1744.121;567.94;9.431;184.939;812;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
9;2.261;1999.79;471.681;509.635;0.857;550.642;809;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
9;3.093;1204.126;116.412;109.754;1.125;103.477;809;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;9;users):
;50.0%;of;requests;handled;in;1797.537ms.
;90.0%;of;requests;handled;in;2486.61ms.
;95.0%;of;requests;handled;in;2596.243ms.
;99.0%;of;requests;handled;in;2808.423ms.
;99.9%;of;requests;handled;in;2900.275ms.
;99.99%;of;requests;handled;in;2900.275ms.

info;(run;1,;9;users):
;50.0%;of;requests;handled;in;194.218ms.
;90.0%;of;requests;handled;in;1212.467ms.
;95.0%;of;requests;handled;in;1320.296ms.
;99.0%;of;requests;handled;in;1669.321ms.
;99.9%;of;requests;handled;in;1999.79ms.
;99.99%;of;requests;handled;in;1999.79ms.

home;(run;1,;9;users):
;50.0%;of;requests;handled;in;103.823ms.
;90.0%;of;requests;handled;in;204.73ms.
;95.0%;of;requests;handled;in;277.631ms.
;99.0%;of;requests;handled;in;478.496ms.
;99.9%;of;requests;handled;in;1204.126ms.
;99.99%;of;requests;handled;in;1204.126ms.

