

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
5,;300s,;798,;2.66,;0%,;2.626ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
5;100.271;1615.599;767.463;335.224;5.241;146.424;803;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
5;2.18;789.837;49.81;102.022;0.238;208.964;800;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
5;3.01;683.057;53.426;66.283;0.65;82.234;800;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;5;users):
;50.0%;of;requests;handled;in;710.984ms.
;90.0%;of;requests;handled;in;1219.838ms.
;95.0%;of;requests;handled;in;1321.351ms.
;99.0%;of;requests;handled;in;1510.673ms.
;99.9%;of;requests;handled;in;1615.599ms.
;99.99%;of;requests;handled;in;1615.599ms.

info;(run;1,;5;users):
;50.0%;of;requests;handled;in;6.033ms.
;90.0%;of;requests;handled;in;98.032ms.
;95.0%;of;requests;handled;in;183.718ms.
;99.0%;of;requests;handled;in;595.367ms.
;99.9%;of;requests;handled;in;789.837ms.
;99.99%;of;requests;handled;in;789.837ms.

home;(run;1,;5;users):
;50.0%;of;requests;handled;in;12.55ms.
;90.0%;of;requests;handled;in;109.46ms.
;95.0%;of;requests;handled;in;186.056ms.
;99.0%;of;requests;handled;in;277.669ms.
;99.9%;of;requests;handled;in;683.057ms.
;99.99%;of;requests;handled;in;683.057ms.

