

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
6,;300s,;696,;2.32,;0%,;2.294ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
6;207.327;1985.957;1308.757;385.387;11.533;113.484;702;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
6;2.209;1311.018;187.549;290.193;0.418;449.014;698;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
6;3.002;610.045;75.048;75.171;0.997;75.293;696;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;6;users):
;50.0%;of;requests;handled;in;1309.698ms.
;90.0%;of;requests;handled;in;1782.574ms.
;95.0%;of;requests;handled;in;1809.274ms.
;99.0%;of;requests;handled;in;1912.258ms.
;99.9%;of;requests;handled;in;1985.957ms.
;99.99%;of;requests;handled;in;1985.957ms.

info;(run;1,;6;users):
;50.0%;of;requests;handled;in;83.324ms.
;90.0%;of;requests;handled;in;610.696ms.
;95.0%;of;requests;handled;in;912.481ms.
;99.0%;of;requests;handled;in;1197.416ms.
;99.9%;of;requests;handled;in;1311.018ms.
;99.99%;of;requests;handled;in;1311.018ms.

home;(run;1,;6;users):
;50.0%;of;requests;handled;in;82.212ms.
;90.0%;of;requests;handled;in;181.898ms.
;95.0%;of;requests;handled;in;198.143ms.
;99.0%;of;requests;handled;in;280.691ms.
;99.9%;of;requests;handled;in;610.045ms.
;99.99%;of;requests;handled;in;610.045ms.

