

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
65,;300s,;3190,;10.633,;1.567%,;1.905ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
65;82.747;5598.754;2578.227;1449.943;3.162;815.418;3190;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
65;2.219;5079.095;2239.375;1409.412;2.525;887.052;3190;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
65;3.495;4808.583;225.424;474.316;0.226;998.01;3190;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;65;users):
;50.0%;of;requests;handled;in;2573.53ms.
;90.0%;of;requests;handled;in;4574.623ms.
;95.0%;of;requests;handled;in;4878.004ms.
;99.0%;of;requests;handled;in;5276.392ms.
;99.9%;of;requests;handled;in;5571.457ms.
;99.99%;of;requests;handled;in;5598.754ms.

info;(run;1,;65;users):
;50.0%;of;requests;handled;in;2217.496ms.
;90.0%;of;requests;handled;in;4177.427ms.
;95.0%;of;requests;handled;in;4436.657ms.
;99.0%;of;requests;handled;in;4795.558ms.
;99.9%;of;requests;handled;in;5067.803ms.
;99.99%;of;requests;handled;in;5079.095ms.

home;(run;1,;65;users):
;50.0%;of;requests;handled;in;149.062ms.
;90.0%;of;requests;handled;in;231.045ms.
;95.0%;of;requests;handled;in;270.792ms.
;99.0%;of;requests;handled;in;3074.568ms.
;99.9%;of;requests;handled;in;4639.702ms.
;99.99%;of;requests;handled;in;4808.583ms.

