

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
4,;300s,;1037,;3.457,;0%,;1.248ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
4;76.297;388.524;145.668;48.363;9.072;16.057;1037;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
4;1.794;64.442;4.556;4.108;1.23;3.703;1037;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
4;2.963;50.337;6.165;4.766;1.674;3.684;1037;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;4;users):
;50.0%;of;requests;handled;in;135.917ms.
;90.0%;of;requests;handled;in;209.494ms.
;95.0%;of;requests;handled;in;241.782ms.
;99.0%;of;requests;handled;in;305.284ms.
;99.9%;of;requests;handled;in;387.688ms.
;99.99%;of;requests;handled;in;388.524ms.

info;(run;1,;4;users):
;50.0%;of;requests;handled;in;3.711ms.
;90.0%;of;requests;handled;in;5.769ms.
;95.0%;of;requests;handled;in;8.905ms.
;99.0%;of;requests;handled;in;27.834ms.
;99.9%;of;requests;handled;in;63.467ms.
;99.99%;of;requests;handled;in;64.442ms.

home;(run;1,;4;users):
;50.0%;of;requests;handled;in;5.028ms.
;90.0%;of;requests;handled;in;8.302ms.
;95.0%;of;requests;handled;in;12.065ms.
;99.0%;of;requests;handled;in;34.819ms.
;99.9%;of;requests;handled;in;50.073ms.
;99.99%;of;requests;handled;in;50.337ms.

