

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
1,;300s,;261,;0.87,;0%,;0.728ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;78.652;233.712;133.914;27.508;23.7;5.65;261;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;3.386;29.074;6.171;2.913;4.487;1.375;261;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
1;4.098;33.326;7.848;3.057;6.591;1.191;261;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;1;users):
;50.0%;of;requests;handled;in;133.246ms.
;90.0%;of;requests;handled;in;169.14ms.
;95.0%;of;requests;handled;in;185.74ms.
;99.0%;of;requests;handled;in;216.213ms.
;99.9%;of;requests;handled;in;233.712ms.
;99.99%;of;requests;handled;in;233.712ms.

info;(run;1,;1;users):
;50.0%;of;requests;handled;in;5.482ms.
;90.0%;of;requests;handled;in;8.287ms.
;95.0%;of;requests;handled;in;10.729ms.
;99.0%;of;requests;handled;in;21.827ms.
;99.9%;of;requests;handled;in;29.074ms.
;99.99%;of;requests;handled;in;29.074ms.

home;(run;1,;1;users):
;50.0%;of;requests;handled;in;7.291ms.
;90.0%;of;requests;handled;in;10.718ms.
;95.0%;of;requests;handled;in;12.593ms.
;99.0%;of;requests;handled;in;22.918ms.
;99.9%;of;requests;handled;in;33.326ms.
;99.99%;of;requests;handled;in;33.326ms.

