

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
19,;300s,;2266,;7.553,;0%,;1.086ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
19;93.111;1832.065;917.222;417.721;4.821;190.239;2285;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
19;2.083;1484.16;512.888;397.039;1.669;307.358;2277;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
19;3.232;867.967;73.838;59.249;1.553;47.542;2266;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;19;users):
;50.0%;of;requests;handled;in;925.775ms.
;90.0%;of;requests;handled;in;1469.623ms.
;95.0%;of;requests;handled;in;1562.045ms.
;99.0%;of;requests;handled;in;1694.365ms.
;99.9%;of;requests;handled;in;1827.845ms.
;99.99%;of;requests;handled;in;1832.065ms.

info;(run;1,;19;users):
;50.0%;of;requests;handled;in;486.296ms.
;90.0%;of;requests;handled;in;1072.411ms.
;95.0%;of;requests;handled;in;1167.227ms.
;99.0%;of;requests;handled;in;1288.109ms.
;99.9%;of;requests;handled;in;1469.107ms.
;99.99%;of;requests;handled;in;1484.16ms.

home;(run;1,;19;users):
;50.0%;of;requests;handled;in;70.643ms.
;90.0%;of;requests;handled;in;123.178ms.
;95.0%;of;requests;handled;in;146.496ms.
;99.0%;of;requests;handled;in;303.274ms.
;99.9%;of;requests;handled;in;740.465ms.
;99.99%;of;requests;handled;in;867.967ms.

