

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
8,;300s,;1532,;5.107,;0%,;1.516ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;90.28;824.461;436.016;142.983;9.299;46.888;1540;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;2.219;509.638;94.875;114.612;0.685;138.454;1532;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
8;3.332;368.572;29.346;28.814;1.037;28.291;1532;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;8;users):
;50.0%;of;requests;handled;in;429.944ms.
;90.0%;of;requests;handled;in;617.511ms.
;95.0%;of;requests;handled;in;666.017ms.
;99.0%;of;requests;handled;in;756.58ms.
;99.9%;of;requests;handled;in;819.437ms.
;99.99%;of;requests;handled;in;824.461ms.

info;(run;1,;8;users):
;50.0%;of;requests;handled;in;29.037ms.
;90.0%;of;requests;handled;in;286.645ms.
;95.0%;of;requests;handled;in;324.645ms.
;99.0%;of;requests;handled;in;387.753ms.
;99.9%;of;requests;handled;in;493.944ms.
;99.99%;of;requests;handled;in;509.638ms.

home;(run;1,;8;users):
;50.0%;of;requests;handled;in;20.828ms.
;90.0%;of;requests;handled;in;65.008ms.
;95.0%;of;requests;handled;in;75.987ms.
;99.0%;of;requests;handled;in;119.767ms.
;99.9%;of;requests;handled;in;341.857ms.
;99.99%;of;requests;handled;in;368.572ms.

