

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
2,;300s,;508,;1.693,;0%,;0.69ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;82.639;259.773;163.707;37.291;19.272;8.495;510;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;2.522;46.326;5.149;3.582;2.067;2.491;509;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;3.913;48.085;7.9;5.522;2.047;3.86;508;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;2;users):
;50.0%;of;requests;handled;in;166.547ms.
;90.0%;of;requests;handled;in;209.735ms.
;95.0%;of;requests;handled;in;222.729ms.
;99.0%;of;requests;handled;in;238.664ms.
;99.9%;of;requests;handled;in;259.773ms.
;99.99%;of;requests;handled;in;259.773ms.

info;(run;1,;2;users):
;50.0%;of;requests;handled;in;4.487ms.
;90.0%;of;requests;handled;in;6.793ms.
;95.0%;of;requests;handled;in;8.211ms.
;99.0%;of;requests;handled;in;21.089ms.
;99.9%;of;requests;handled;in;46.326ms.
;99.99%;of;requests;handled;in;46.326ms.

home;(run;1,;2;users):
;50.0%;of;requests;handled;in;6.458ms.
;90.0%;of;requests;handled;in;10.899ms.
;95.0%;of;requests;handled;in;13.948ms.
;99.0%;of;requests;handled;in;35.405ms.
;99.9%;of;requests;handled;in;48.085ms.
;99.99%;of;requests;handled;in;48.085ms.

