

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
60,;300s,;3061,;10.203,;0%,;0.997ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
60;89.622;5415.216;2504.354;1356.904;3.406;735.195;3121;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
60;3.07;5010.918;2165.497;1331.129;2.647;818.243;3074;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
60;3.327;4403.144;191.912;378.997;0.256;748.459;3061;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;60;users):
;50.0%;of;requests;handled;in;2488.594ms.
;90.0%;of;requests;handled;in;4374.682ms.
;95.0%;of;requests;handled;in;4645.108ms.
;99.0%;of;requests;handled;in;5027.759ms.
;99.9%;of;requests;handled;in;5312.832ms.
;99.99%;of;requests;handled;in;5415.216ms.

info;(run;1,;60;users):
;50.0%;of;requests;handled;in;2124.015ms.
;90.0%;of;requests;handled;in;4023.417ms.
;95.0%;of;requests;handled;in;4231.059ms.
;99.0%;of;requests;handled;in;4636.716ms.
;99.9%;of;requests;handled;in;4938.967ms.
;99.99%;of;requests;handled;in;5010.918ms.

home;(run;1,;60;users):
;50.0%;of;requests;handled;in;138.492ms.
;90.0%;of;requests;handled;in;208.845ms.
;95.0%;of;requests;handled;in;240.842ms.
;99.0%;of;requests;handled;in;2785.911ms.
;99.9%;of;requests;handled;in;4356.664ms.
;99.99%;of;requests;handled;in;4403.144ms.

