

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
2,;300s,;330,;1.1,;0%,;1.342ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;301.189;1208.191;755.523;196.974;14.712;51.354;331;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;3.89;185.33;23.133;34.186;0.458;50.52;330;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
2;4.835;191.329;32.196;37.463;0.739;43.59;330;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;2;users):
;50.0%;of;requests;handled;in;784.405ms.
;90.0%;of;requests;handled;in;1000.254ms.
;95.0%;of;requests;handled;in;1095.208ms.
;99.0%;of;requests;handled;in;1199.876ms.
;99.9%;of;requests;handled;in;1208.191ms.
;99.99%;of;requests;handled;in;1208.191ms.

info;(run;1,;2;users):
;50.0%;of;requests;handled;in;6.256ms.
;90.0%;of;requests;handled;in;88.545ms.
;95.0%;of;requests;handled;in;91.881ms.
;99.0%;of;requests;handled;in;112.615ms.
;99.9%;of;requests;handled;in;185.33ms.
;99.99%;of;requests;handled;in;185.33ms.

home;(run;1,;2;users):
;50.0%;of;requests;handled;in;8.434ms.
;90.0%;of;requests;handled;in;90.091ms.
;95.0%;of;requests;handled;in;93.789ms.
;99.0%;of;requests;handled;in;103.434ms.
;99.9%;of;requests;handled;in;191.329ms.
;99.99%;of;requests;handled;in;191.329ms.

