

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
13,;1445s,;9377,;6.489,;0%,;1.785ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;2.747;3805.577;730.054;320.416;5.191;140.628;9370;0;0;0;0;13;150;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;2.306;1184.207;186.242;230.932;0.65;286.346;9377;0;0;0;0;0;6;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;3.717;4439.45;63.527;136.61;0.216;293.769;9377;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;13;users):
;50.0%;of;requests;handled;in;708.777ms.
;90.0%;of;requests;handled;in;1146.735ms.
;95.0%;of;requests;handled;in;1266.604ms.
;99.0%;of;requests;handled;in;1491.089ms.
;99.9%;of;requests;handled;in;2131.116ms.
;99.99%;of;requests;handled;in;3805.577ms.

info;(run;1,;13;users):
;50.0%;of;requests;handled;in;70.448ms.
;90.0%;of;requests;handled;in;543.364ms.
;95.0%;of;requests;handled;in;660.163ms.
;99.0%;of;requests;handled;in;866.178ms.
;99.9%;of;requests;handled;in;1021.382ms.
;99.99%;of;requests;handled;in;1184.207ms.

home;(run;1,;13;users):
;50.0%;of;requests;handled;in;44.711ms.
;90.0%;of;requests;handled;in;118.41ms.
;95.0%;of;requests;handled;in;165.229ms.
;99.0%;of;requests;handled;in;302.271ms.
;99.9%;of;requests;handled;in;966.239ms.
;99.99%;of;requests;handled;in;4439.45ms.

