

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
13,;130s,;830,;6.385,;0%,;2.66ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;36.787;2310.545;689.563;313.417;4.841;142.453;842;0;0;0;0;1;13;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;2.567;945.891;258.467;237.7;1.182;218.602;830;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
13;3.879;538.549;64.388;62.86;1.049;61.369;830;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;13;users):
;50.0%;of;requests;handled;in;687.87ms.
;90.0%;of;requests;handled;in;1081.298ms.
;95.0%;of;requests;handled;in;1160.381ms.
;99.0%;of;requests;handled;in;1468.155ms.
;99.9%;of;requests;handled;in;2310.545ms.
;99.99%;of;requests;handled;in;2310.545ms.

info;(run;1,;13;users):
;50.0%;of;requests;handled;in;197.91ms.
;90.0%;of;requests;handled;in;608.133ms.
;95.0%;of;requests;handled;in;693.65ms.
;99.0%;of;requests;handled;in;785.107ms.
;99.9%;of;requests;handled;in;945.891ms.
;99.99%;of;requests;handled;in;945.891ms.

home;(run;1,;13;users):
;50.0%;of;requests;handled;in;51.492ms.
;90.0%;of;requests;handled;in;114.28ms.
;95.0%;of;requests;handled;in;146.502ms.
;99.0%;of;requests;handled;in;389.757ms.
;99.9%;of;requests;handled;in;538.549ms.
;99.99%;of;requests;handled;in;538.549ms.

