

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
6,;300s,;1268,;4.227,;0%,;1.179ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
6;76.221;1091.7;373.364;228.975;2.659;140.425;1270;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
6;1.944;705.222;27.637;81.961;0.114;243.059;1268;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
6;3.105;499.728;16.669;31.306;0.284;58.796;1268;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;6;users):
;50.0%;of;requests;handled;in;310.575ms.
;90.0%;of;requests;handled;in;700.424ms.
;95.0%;of;requests;handled;in;866.656ms.
;99.0%;of;requests;handled;in;1005.593ms.
;99.9%;of;requests;handled;in;1091.239ms.
;99.99%;of;requests;handled;in;1091.7ms.

info;(run;1,;6;users):
;50.0%;of;requests;handled;in;4.09ms.
;90.0%;of;requests;handled;in;66.101ms.
;95.0%;of;requests;handled;in;173.062ms.
;99.0%;of;requests;handled;in;499.639ms.
;99.9%;of;requests;handled;in;700.976ms.
;99.99%;of;requests;handled;in;705.222ms.

home;(run;1,;6;users):
;50.0%;of;requests;handled;in;5.627ms.
;90.0%;of;requests;handled;in;63.874ms.
;95.0%;of;requests;handled;in;72.387ms.
;99.0%;of;requests;handled;in;112.641ms.
;99.9%;of;requests;handled;in;444.764ms.
;99.99%;of;requests;handled;in;499.728ms.

