

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
35,;300s,;1541,;5.137,;0%,;1.958ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
35;113.587;6540.558;3094.718;1619.876;3.65;847.896;1576;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
35;2.883;5798.929;2403.294;1568.816;2.347;1024.087;1560;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
35;4.174;5494.808;251.385;396.524;0.402;625.462;1542;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;35;users):
;50.0%;of;requests;handled;in;3049.405ms.
;90.0%;of;requests;handled;in;5361.583ms.
;95.0%;of;requests;handled;in;5702.103ms.
;99.0%;of;requests;handled;in;6266.778ms.
;99.9%;of;requests;handled;in;6537.451ms.
;99.99%;of;requests;handled;in;6540.558ms.

info;(run;1,;35;users):
;50.0%;of;requests;handled;in;2404.966ms.
;90.0%;of;requests;handled;in;4590.091ms.
;95.0%;of;requests;handled;in;4917.145ms.
;99.0%;of;requests;handled;in;5352.414ms.
;99.9%;of;requests;handled;in;5785.615ms.
;99.99%;of;requests;handled;in;5798.929ms.

home;(run;1,;35;users):
;50.0%;of;requests;handled;in;207.417ms.
;90.0%;of;requests;handled;in;321.938ms.
;95.0%;of;requests;handled;in;427.994ms.
;99.0%;of;requests;handled;in;2195.592ms.
;99.9%;of;requests;handled;in;5388.349ms.
;99.99%;of;requests;handled;in;5494.808ms.

