

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
11,;300s,;1312,;4.373,;0%,;1.966ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
11;84.314;2292.551;1039.906;418.918;6.162;168.758;1312;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
11;1.843;1605.831;389.598;362.297;1.156;336.909;1312;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
11;2.896;711.065;84.539;81.05;1.088;77.705;1312;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;11;users):
;50.0%;of;requests;handled;in;1008.755ms.
;90.0%;of;requests;handled;in;1602.232ms.
;95.0%;of;requests;handled;in;1709.319ms.
;99.0%;of;requests;handled;in;1918.768ms.
;99.9%;of;requests;handled;in;2288.243ms.
;99.99%;of;requests;handled;in;2292.551ms.

info;(run;1,;11;users):
;50.0%;of;requests;handled;in;309.964ms.
;90.0%;of;requests;handled;in;882.414ms.
;95.0%;of;requests;handled;in;1020.912ms.
;99.0%;of;requests;handled;in;1304.62ms.
;99.9%;of;requests;handled;in;1572.826ms.
;99.99%;of;requests;handled;in;1605.831ms.

home;(run;1,;11;users):
;50.0%;of;requests;handled;in;85.046ms.
;90.0%;of;requests;handled;in;184.422ms.
;95.0%;of;requests;handled;in;200.646ms.
;99.0%;of;requests;handled;in;459.172ms.
;99.9%;of;requests;handled;in;697.195ms.
;99.99%;of;requests;handled;in;711.065ms.

