

Experiment;consisting;of;1;runs;and;3;request;types:
;login
;info
;home


Load,;Duration,;Troughput,;Capacity,;Slow;requests,;Timing;accuracy
------------------------------------------------------------------------------------------
4,;300s,;979,;3.263,;0%,;1.964ms;


Breakdown;of;residence;times;for;login;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
4;77.448;589.922;206.141;90.484;5.19;39.717;979;0;0;0;0;0;0;


Breakdown;of;residence;times;for;info;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
4;1.956;82.063;7.131;11.609;0.377;18.899;979;0;0;0;0;0;0;


Breakdown;of;residence;times;for;home;requests:

Load,;Min,;Max,;Mean,;Std.;dev.,;Shape,;Scale;(successful);(failed);(error);(conn_problem);(timed_out);(redirected);(no_result);
4;3.174;96.338;10.031;14.07;0.508;19.734;979;0;0;0;0;0;0;


Percentiles;of;sampled;residence;times;(only;an;approximation;if;residence_times_sample_fraction;is;set):

login;(run;1,;4;users):
;50.0%;of;requests;handled;in;190.641ms.
;90.0%;of;requests;handled;in;320.889ms.
;95.0%;of;requests;handled;in;389.534ms.
;99.0%;of;requests;handled;in;481.513ms.
;99.9%;of;requests;handled;in;589.922ms.
;99.99%;of;requests;handled;in;589.922ms.

info;(run;1,;4;users):
;50.0%;of;requests;handled;in;4.074ms.
;90.0%;of;requests;handled;in;8.609ms.
;95.0%;of;requests;handled;in;23.8ms.
;99.0%;of;requests;handled;in;66.356ms.
;99.9%;of;requests;handled;in;82.063ms.
;99.99%;of;requests;handled;in;82.063ms.

home;(run;1,;4;users):
;50.0%;of;requests;handled;in;5.6ms.
;90.0%;of;requests;handled;in;17.464ms.
;95.0%;of;requests;handled;in;53.955ms.
;99.0%;of;requests;handled;in;69.27ms.
;99.9%;of;requests;handled;in;96.338ms.
;99.99%;of;requests;handled;in;96.338ms.

